business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days
U001,0200353024,DECA ,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,6.343599199504496,NAM4,1,1,1,23
U001,0200742521,GLA foundation,2019-01-15,2019.0,2019-01-16,1.0,2019-01-01,NAA8,0,10.302640782586598,NAA8,1,1,1,15
U001,0200020431,DEC trust,2019-01-10,2019.0,2019-01-11,1.0,2019-01-01,NAM2,0,9.885416245639481,NAM2,1,1,1,10
U001,0200353024,DECA corp,2019-01-10,2019.0,2019-01-11,1.0,2019-01-01,NAM2,0,10.110713081696224,NAM2,1,1,1,10
U001,0200706844,WINC trust,2019-01-23,2019.0,2019-01-16,1.0,2019-01-01,NAA8,1,9.319944271731574,NAA8,1,1,1,15
U001,0200230690,DECA llc,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,6.560804331939855,NAM4,1,1,1,23
U001,0200020431,DEC associates,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,5.798122487030562,NAM4,1,1,1,23
U001,0200769623,WAL-MAR systems,2019-01-18,2019.0,2019-01-16,1.0,2019-01-01,NAH4,1,11.11983383862123,NAH4,1,1,1,15
U001,0200769623,WAL-MAR llc,2019-01-11,2019.0,2019-01-16,1.0,2019-01-01,NAH4,0,9.697717209279263,NAH4,1,1,1,15
U001,0200803720,DEC us,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,7.570164862795215,NAM4,1,1,1,23
U001,0200803720,DEC ,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,8.07042472294987,NAM4,1,1,1,23
U001,0200020431,DEC corp,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,7.490696892221057,NAM4,1,1,1,23
U001,0200752302,KROGER in,2019-01-16,2019.0,2019-01-16,1.0,2019-01-01,NAA8,0,9.81680048658835,NAA8,1,1,1,15
U001,0200780825,SYSCO FO co,2019-02-08,2019.0,2019-02-02,1.0,2019-01-01,NA32,1,10.06679914279534,NA32,1,1,1,32
U001,0200020431,DEC ,2019-01-11,2019.0,2019-01-11,1.0,2019-01-01,NAM2,0,10.572774324128188,NAM2,1,1,1,10
